,Year,Hot_Singles_Rank,Title,Artist,Weeks_On_Chart,Peak_Chart_Position,BPM
74,1978,75,"""always and forever""",HEATWAVE,20,18,156
98,1978,99,"""hollywood nights""",BOB SEGER & THE SILVER BULLET BAND,13,12,150
76,1978,77,"""serpentine fire""","EARTH, WIND & FIRE",18,13,140
69,1978,70,"""what's your name""",LYNYRD SKYNYRD,18,13,138
93,1978,94,"""turn to stone""",ELECTRIC LIGHT ORCHESTRA,15,13,138
81,1978,82,"""running on empty""",JACKSON BROWNE,17,11,136
67,1978,68,"""hey deanie""",SHAUN CASSIDY,16,7,134
63,1978,64,"""shame""","EVELYN ""CHAMPAGNE"" KING",19,9,132
84,1978,85,"""get off""",FOXY,21,9,130
82,1978,83,"""whenever i call you 'friend'""",KENNY LOGGINS,20,5,130
49,1978,50,"""thunder island""",JAY FERGUSON,21,9,130
53,1978,54,"""disco inferno""",THE TRAMMPS,29,11,128
43,1978,44,"""love will find a way""",PABLO CRUISE,18,6,126
71,1978,72,"""because the night""",PATTI SMITH GROUP,18,13,126
45,1978,46,"""love is in the air""",JOHN PAUL YOUNG,21,7,126
8,1978,9,"""boogie oogie oogie""",A TASTE OF HONEY,23,1,126
87,1978,88,"""i love the nightlife""",ALICIA BRIDGES,31,5,126
44,1978,45,"""an everlasting love""",ANDY GIBB,16,5,126
68,1978,69,"""summer nights""",OLIVIA NEWTON-JOHN,16,5,125
19,1978,20,"""dance, dance, dance (yowsah, yowsah, yowsah)""",CHIC,28,6,124
40,1978,41,"""short people""",RANDY NEWMAN,20,2,124
22,1978,23,"""love is like oxygen""",SWEET,25,8,124
85,1978,86,"""sweet talkin' woman""",ELECTRIC LIGHT ORCHESTRA,---,17,122
47,1978,48,"""slip slidin' away""",PAUL SIMON,20,5,122
92,1978,93,"""don't look back""",BOSTON,13,4,122
37,1978,38,"""the closer i get to you""",ROBERTA FLACK & DONNY HATHAWAY,20,2,122
46,1978,47,"""goodbye girl""",DAVID GATES,24,15,122
48,1978,49,"""the groove line""",HEATWAVE,17,7,121
66,1978,67,"""baby hold on""",EDDIE MONEY,20,11,120
89,1978,90,"""it's so easy""",LINDA RONSTADT,18,5,120
55,1978,56,"""come sail away""",STYX,22,8,120
54,1978,55,"""on broadway""",GEORGE BENSON,18,7,120
75,1978,76,"""you and i""",RICK JAMES,17,13,120
32,1978,33,"""sometimes when we touch""",DAN HILL,22,3,119
95,1978,96,"""ebony eyes""",BOB WELCH,17,14,118
79,1978,80,"""don't let me be misunderstood""",SANTA ESMERALDA,19,15,118
35,1978,36,"""hot blooded""",FOREIGNER,17,3,118
23,1978,24,"""it's a heartache""",BONNIE TYLER,21,3,118
73,1978,74,"""copacabana""",BARRY MANILOW,16,8,118
61,1978,62,"""peg""",STEELY DAN,19,11,117
25,1978,26,"""baker street""",GERRY RAFFERTY,20,2,116
51,1978,52,"""still the same""",BOB SEGER & THE SILVER BULLET BAND,18,4,116
99,1978,100,"""deacon blues""",STEELY DAN,16,19,114
41,1978,42,"""use ta be my girl""",THE O'JAYS,19,4,113
21,1978,22,"""hot child in the city""",NICK GILDER,31,1,113
65,1978,66,"""count on me""",JEFFERSON STARSHIP,14,8,112
17,1978,18,"""with a little luck""",WINGS,18,1,112
15,1978,16,"""miss you""",THE ROLLING STONES,20,1,112
1,1978,2,"""night fever""",BEE GEES,20,1,110
28,1978,29,"""dance with me""",PETER BROWN,28,8,110
10,1978,11,"""grease""",FRANKIE VALLI,22,1,110
50,1978,51,"""imaginary lover""",ATLANTA RHYTHM SECTION,17,7,110
90,1978,91,"""native new yorker""",ODYSSEY,19,21,110
56,1978,57,"""(every time i turn around) back in love again""",L.T.D.,19,4,110
31,1978,32,"""take a chance on me""",ABBA,18,3,108
94,1978,95,"""i can't stand the rain""",ERUPTION,22,18,108
83,1978,84,"""fool (if you think it's over)""",CHRIS REA,15,12,108
30,1978,31,"""jack and jill""",RAYDIO,21,8,108
18,1978,19,"""if i can't have you""",YVONNE ELLIMAN,22,1,108
58,1978,59,"""you belong to me""",CARLY SIMON,18,6,108
12,1978,13,"""you're the one that i want""",OLIVIA NEWTON-JOHN,24,1,106
20,1978,21,"""feels so good""",CHUCK MANGIONE,25,4,106
91,1978,92,"""flash light""",PARLIAMENT,16,16,106
59,1978,60,"""here you come again""",DOLLY PARTON,19,3,106
5,1978,6,"""how deep is your love""",BEE GEES,33,1,105
36,1978,37,"""you're in my heart (the final acclaim)""",ROD STEWART,22,4,104
4,1978,5,"""kiss you all over""",EXILE,23,1,104
3,1978,4,"""stayin' alive""",BEE GEES,27,1,103
0,1978,1,"""shadow dancing""",ANDY GIBB,25,1,102
57,1978,58,"""this time i'm in it for love""",PLAYER,17,10,102
26,1978,27,"""can't smile without you""",BARRY MANILOW,19,3,100
86,1978,87,"""life's been good""",JOE WALSH,15,12,98
7,1978,8,"""(love is) thicker than water""",ANDY GIBB,29,1,96
78,1978,79,"""falling""",LEBLANC & CARR,28,13,96
60,1978,61,"""blue bayou""",LINDA RONSTADT,23,3,96
72,1978,73,"""every kinda people""",ROBERT PALMER,18,16,96
14,1978,15,"""lay down sally""",ERIC CLAPTON,23,3,96
38,1978,39,"""dust in the wind""",KANSAS,20,6,94
64,1978,65,"""reminiscing""",LITTLE RIVER BAND,20,3,94
13,1978,14,"""emotion""",SAMANTHA SANG,27,3,94
88,1978,89,"""you can't turn me off (in the middle of turning me on)""",HIGH INERGY,22,12,92
70,1978,71,"""don't it make my brown eyes blue""",CRYSTAL GAYLE,26,2,86
42,1978,43,"""our love""",NATALIE COLE,21,10,80
27,1978,28,"""too much, too little, too late""",JOHNNY MATHIS,18,1,80
29,1978,30,"""two out of three ain't bad""",MEAT LOAF,23,11,80
24,1978,25,"""we will rock you/we are the champions""",QUEEN,41,4,80
2,1978,3,"""you light up my life""",DEBBY BOONE,25,1,78
6,1978,7,"""baby come back""",PLAYER,32,1,78
39,1978,40,"""magnet and steel""",WALTER EGAN,22,8,76
9,1978,10,"""three times a lady""",COMMODORES,20,1,76
96,1978,97,"""the name of the game""",ABBA,16,12,76
34,1978,35,"""hopelessly devoted to you""",OLIVIA NEWTON-JOHN,19,3,74
77,1978,78,"""sentimental lady""",BOB WELCH,18,8,72
16,1978,17,"""just the way you are""",BILLY JOEL,27,3,70
52,1978,53,"""my angel baby""",TOBY BEAU,17,13,70
11,1978,12,"""i go crazy""",PAUL DAVIS,40,7,70
80,1978,81,"""bluer than blue""",MICHAEL JOHNSON,16,12,66
97,1978,98,"""we're all alone""",RITA COOLIDGE,20,7,66
33,1978,34,"""last dance""",DONNA SUMMER,21,3,64
62,1978,63,"""you needed me""",ANNE MURRAY,26,1,64
